layer_ru	layer_en	sublayer	sublayer_en	date_start
мел	cretaceous			145
палеоцен	paleocene	ранний	early	66
палеоцен	paleocene	средний	middle	61.6
палеоцен	paleocene	поздний	late	59.2
эоцен	eocene	ранний	early	56
эоцен	eocene	средний	middle	47.8
эоцен	eocene	поздний	late	38
олигоцен	oligocene	ранний	early	33.9
олигоцен	oligocene	поздний	late	28.1
миоцен	miocene	ранний	early	23.03
миоцен	miocene	средний	middle	15.97
миоцен	miocene	поздний	late	11.62
плиоцен	pliocene	ранний	early	5.333
плиоцен	pliocene	средний	middle	3.6
плиоцен	pliocene	поздний	late	2.588
плейстоцен	pleistocene	ранний	early	1.806
плейстоцен	pleistocene	средний	middle	0.781
плейстоцен	pleistocene	поздний	late	0.126
голоцен	holocene			0.0117