id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
1		SCANDENTIA						Tupaildae	Ptilocercinae	Eodendrogale parvum	Китай	asia	44.9	42.7
2		SCANDENTIA						Tupaildae	Ptilocercinae	—			0	0	1	0.5
3		SCANDENTIA						Tupaildae	Tupaiinae	Tupaia miocenica	Таиланд	asia	17.9	16.8
4		SCANDENTIA	HAPLORRHINI					Tupaildae	Tupaiinae	Tupaia sivalicus	Индия	asia	9.9	8.8
5		SCANDENTIA	HAPLORRHINI					Tupaildae	Tupaiinae	Prodendrogale yunnanica	Китай	asia	6.8	5.6
6		SCANDENTIA	HAPLORRHINI					Tupaildae	Tupaiinae	—			0	0
7		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Mixodectidae	—	—	США	n_america	66	60.2
8		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Placentidentidae	—	—	Франция	europe	53.1	51
9		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium sp.	Бирма	asia	38.8	37.4
10		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium major	Таиланд	asia	36.5	34.3	9	0.5
11		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium chimaera	Пакистан	asia	32.2	30.1	10	0.5
12		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	Dermotherium chimaera	Таиланд	asia	26.8	24.7	11	0.5
13		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Cynocephalidae	—	—			0	0	11	0.5
14		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	incertae sedis	—	США	n_america	64.4	60.2
15		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	—	США, Канада	n_america	57.2	50
16		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Thylacaelurinae	—	Канада	n_america	36.8	35.5	15	0.5
17		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	—	Таиланд	asia	34.78	33.73			debug761
18		DERMOPTERA	HAPLORRHINI				PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	—	США	n_america	28	26	17	0.5	debug739
20	PRIMATOMORPHA	INCERTAE SEDIS	HAPLORRHINI					Purgatoriidae			США	n_america	66	64
21	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				 PLESIADAPOIDEA	Adapisoriculidae				europe	66	55
22	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				 PLESIADAPOIDEA	Adapisoriculidae			Северная Африка	africa	66	55
23	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Adapisoriculidae			Индия	asia	66	55
24	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	 Asioplesiadapinae		Китай	asia	53	51
29	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Европа	europe	66	51
30	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Северная Америка	n_america	66	51
31	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Plesiadapidae	Plesiadapinae		Пакистан	asia	66	51
32	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Saxonellidae			Канада	s_america	58	56.3
33	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PLESIADAPOIDEA	Saxonellidae			Германия	europe	58	56.3
34	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Carpolestinae		Китай	asia	64.1	53.9
35	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Carpolestinae		Северная_Америка	n_america	64.1	53.9
36	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Chronolestinae		Китай	asia	53.1	51
37	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				CARPOLESTOIDEA	Carpolestidae	Parvocristinae		Пакистан	asia	48.9	47.3
38	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PAROMOMYOIDEA	Paromomyidae	Paromomyinae		США	n_america	60.7	59.2
39	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PAROMOMYOIDEA	Paromomyidae	Phenacolemurinae 		Северная_Америка	n_america	58	43.8
40	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				PAROMOMYOIDEA	Paromomyidae	Phenacolemurinae 		Европа	europe	58	43.8
41	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				MICROSYOPOIDE	Microsyopidae	Microsyopinae		США	n_america	56.5	42
42	PRIMATOMORPHA	PLESIADAPIFORMES	HAPLORRHINI				MICROSYOPOIDE	Microsyopidae	Uintasoricinae		США	n_america	59.5	38
43	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	Toliapinidae			Европа	europe	60	44.2
44	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	Toliapinidae			Марокко	africa	60	44.2
45	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	Toliapinidae			Пакистан	asia	60	44.2
46	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	 Palaechthonidae	 Plesiolestinae		США	n_america	64.2	56.9
47	PRIMATOMORPHA		HAPLORRHINI				 MICROSYOPOIDEA	 Palaechthonidae	 Palaechthoninae 		США	n_america	64	57
48	PRIMATOMORPHA		HAPLORRHINI				 INCERTAE SEDIS	 Micromomyidae	 Micromomyinae      Северная Аерика	n_america   56.5    53
49	PRIMATOMORPHA		HAPLORRHINI				INCERTAE SEDIS	Micromomyidae	Tinimomyinae        США	n_america	57.2	53
50	PRIMATOMORPHA		HAPLORRHINI				INCERTAE SEDIS	 Picrodontidae			Северная Аерика	n_america	61.5	56.2
51	PRIMATOMORPHA		HAPLORRHINI				INCERTAE SEDIS	 Picromomyidae			Северная Аерика	n_america	55.8	46
52	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI					incertae sedis		Petrolemur brevirostre	Китай	asia	58.2	56.2
53	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			 Notharctidae	 Asiadapinae		Индия	asia	52.5	53.5
54	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			 Notharctidae	 Caenopithecinae		Швейцария	europe	47.8	37
55	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Caenopithecinae		Египет	africa	47.8	37
56	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Cercamoniinae 		Северная Аерика	s_america	53.5	33.9
57	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Европа	europe	53.5	33.9
58	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Египет	africa	53.5	33.9
59	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Оман	asia	53.5	33.9
60	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Пакистан	asia	53.5	33.9
61	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	Cercamoniinae 		Китай	asia	53.5	33.9
62	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Notharctinae		Северная Африка	n_america	55.2	39.1
63	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Notharctidae	 Notharctinae		Европа	europe	55.2	39.1
64	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или по дсем. Sivaladapinae сем. Adapidae) 			Пакистан	asia	37.7	7.8
65	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или подсем. Sivaladapinae сем. Adapidae) 			Индия	asia	37.7	7.8
66	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или по дсем. Sivaladapinae сем. Adapidae) 			Таиланд	asia	37.7	7.8
67	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		ADAPIFORMES			 Sivaladapidae (или по дсем. Sivaladapinae сем. Adapidae) 			Бирма	asia	37.7	7.8
72	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	 Lemuridae	 Lemurinae		Мадагаскар	africa	0	0
73	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	 Lemuridae	 Hapalemurinae		Мадагаскар	africa	0	0
74	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	  Indriidae (= надсем.  Indrioidea)	  Archaeolemurinae (= сем.  Archaeolemuridae		Мадагаскар	africa	0	0
76	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	Indriidae (= надсем.  Indrioidea)	Indriinae		Мадааскар	africa	0	0
77	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	  Indriidae (= надсем.  Indrioidea)	 Archaeolemurinae		Мадагаскар	africa	0	0
78	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		LEMURIFORMES		 LEMUROIDEA	Indriidae (= надсем.  Indrioidea)	  Palaeopropithecinae (= сем.  Palaeopropithecidae)		Мадагаскар	africa	0	0
79	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Azibiidae			Северная Африка	africa	51.8	34.8
80	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae 	  Adapinae 		Европа	europe	45.1	35.9
81	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae	Adapinae		Китай	asia	45.1	35.9
82	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae 	Djebelemurinae		Северная Африка	africa	50.4	49.8
83	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES			Adapidae 	Djebelemurinae		Северная Африка	africa	33.8	35
85	PRIMATOMORPHA	 PRIMATES	STREPSIRRHINI		 ADAPIFORMES		CHEIROGALEOIDEA	Cheirogaleidae	Cheirogaleinae		Мадагаскар	africa	0	0
86	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae		Африка	africa	0	0
87	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LEMURIFORMES		LEMUROIDEA	Cheirogaleidae	Cheirogaleinae	Bugtilemur mathesoni	Пакистан	asia	32.3	30.1
88	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	incertae sedis		 Chasselasia eldredgei	Швейцария	europe	46.5	43.4
89	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Saharagalago misrensis	Египет	africa	41.2	35.2
90	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	11.2	10
91	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	5.2	3.2
92	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Galaginae	Galago farafraensis	Египет	africa	2.2	1.2
93	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Kombinae		Кения	africa	20.1	15
94	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		LORISIFORMES		LORISOIDEA	Galagonidae	Kombinae		Уганда	africa	20.1	15
95	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis	Progaiago dorae	Кения	africa	19.9	18.9
96	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis	Progaiago dorae	Уганда	africa	19.9	18.9
97	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Эфиопия	africa	15.7	14.8
98	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Кения	africa	10	9.1
99	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Уганда	africa	6.5	5.7
100	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Танзания	africa	4.5	3.5
101	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		LORISOIDEA	Galagonidae	incertae sedis		Намибия	africa	2.1	1.2
102	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Perodicticinae	Karanisia	Египет	africa	41.7	35
103	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Perodicticinae	Karanisia	Ливия	africa	41.7	35
104	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae	Nycticebus linglom	Таиланд	asia	18.5	17.9
105	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae	Nycticeboides simpsoni	Пакистан	asia	16.1	14.9
106	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae	Microloris pilbeami	Пакистан	asia	10	9.1
107	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Perodicticinae		Африка	asia	0	0
108	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Индостан	asia	0	0
109	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Китай	asia	0	0
110	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Юго-Восточная Азия	asia	0	0
111	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		 LORISOIDEA	Lorisidae	Lorisinae		Индонейзия	asia	0	0
112	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		ADAPIFORMES		PLESIOPITHECOIDEA	Plesiopithecidae			Египет	africa	37.4	35.6
113	PRIMATOMORPHA	PRIMATES	STREPSIRRHINI		CHIROMYIFORMES			incertae sedis		Nosmips aenigmaticus	Египет	africa	36.4	35.7
114	PRIMATOMORPHA	PRIMATES	HAPLORRHINI		CHIROMYIFORMES			Daubentoniidae (=Chiromyidae)			Мадагаскар	africa	0	0
115	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Microchoeridae (=Necrolemuridae)			Европа	europe	55.6	31.5
116	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Microchoeridae (=Necrolemuridae)			Китай	asia	55.6	31.5
117	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Microchoeridae (=Necrolemuridae)			Пакистан	asia	55.6	31.5
118	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Decoredontinae		Китай	asia	61.5	58.6
119	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Северная Америка	n_america	55.7	41.8
120	PRIMATOMORPHA	PRIMATES	HAPLORRHINI	TARSIIFORMES	OMOMYIFORMES (=надсем. OMOMYOIDEA)			Omomyidae	Anaptomorphinae (=Tetoniidae)		Египет	africa	55.7	41.8
